BestsellerNonfic,Genre,GenreBin,Title,Author,Published Year,Publisher,Page,Price,authorgender(male0fe1team2),isFirstBestSeller,Duration,痕井穿Duration,痕井板Duration3(0=S1=L2=etc),Impact,year_rank,isGlobal50 of first year(False=0True=1)
2020,Religion&Spirituality,0,The Four Agreements: A Practical Guide to・,Don Miguel Ruiz,1997,Amber-Allen Publishing Incorporated ,160,6.48,0,0,9,1,1,225500,2019_20,0
2020,Religion&Spirituality,0,The 5 Love Languages: The Secret to Love that・,Gary Chapman,2015,Northfield Publishing,208,17.99,0,0,10,1,1,155897.368,2019_10,0
2020,Reference,0,Publication Manual of the American・,American Psychological Association,2019,American Psychological Association,428,26.7,2,0,10,1,1,230000000,2019_66,0
2020,Religion&Spirituality,0,The Alchemist 25th Anniversary: A Fable About・,Paulo Coelho,2003,HarperOne,208,25.99,0,0,6,1,1,9876020,2019_65,1
2020,Religion&Spirituality,0,The Gifts of Imperfection: Let Go of Who You・,Bren? Brown,2012,Brilliance Audio,160,16.95,1,1,8,1,1,108790,2019_60,0
2019,Religion&Spirituality,0,It's Not Supposed to Be This Way: Finding・,Lysa TerKeurst,2018,Thomas Nelson ,256,24.99,1,0,1,0,0,20300,2019_18,1
2019,CraftsHobbies&Home,0,The Life-Changing Magic of Tidying Up: The・,Marie Kond?,2016,Ten Speed Press,304,16.99,1,1,5,1,1,127050,2019_28,1
2019,Religion&Spirituality,0,Can't Hurt Me: Master Your Mind and Defy the・,David Goggins,2020,Lioncrest Publishing ,364,24.99,0,1,1,0,0,95900,2019_44,0
2019,Parenting&Relationships,0,What to Expect When You're Expecting,Heidi Murkoff,2016,Workman Publishing Company,656,15.95,1,0,8,1,1,24970,2019_62,0
2019,Religion&Spirituality,0,The Road Back to You: An Enneagram Journey to・,Ian Morgan Cron,2016,IVP Books ,240,23.99,2,1,1,0,0,6886,2019_76,0
2018,CraftsHobbies&Home,0,Homebody: A Guide to Creating Spaces You・,Joanna Gaines,2018,Harper Design,352,38.47,1,1,1,0,0,135762,,1
2018,Religion&Spirituality,0,Everybody Always: Becoming Love in a World・,Bob Goff,2018,Thomas Nelson,240,18.99,0,1,1,0,0,36456.09,,1
2018,Reference,0,The Official SAT Study Guide 2018 Edition・,The College Board,2019,College Board,1300,29.99,2,0,2,0,1,263780000,,0
2018,Reference,0,Dungeons & Dragons Dungeon Master's Guide・,Wizards RPG Team,2020,Wizards of the Coast ,192,25,0,1,1,0,0,8763.8,,0
2018,Reference,0,Dungeons & Dragons Monster Manual (Core・,Wizards RPG Team,2020,Wizards of the Coast ,192,27.49,2,1,1,0,0,29867.64,,0
2017,Religion&Spirituality,0,Uninvited: Living Loved When You Feel Less・,Lysa TerKeurst,2016,Thomas Nelson on Brilliance Audio,352,18.99,1,1,2,0,1,4072.818739,,1
2017,Religion&Spirituality,0,Jesus Calling: Enjoying Peace in His Presence・,Sarah Young,2014,Thomas Nelson,400,16.99,1,0,7,1,1,40994800,,1
2017,Religion&Spirituality,0,The Wisdom of Sundays: Life-Changing Insights・,Oprah Winfrey,2017,Flatiron Books ,240,27.99,1,1,1,0,0,381150,,1
2017,Reference,0,Pok?mon Deluxe Essential Handbook: The Need・,Scholastic,2018,Scholastic Inc.,496,14.99,2,0,2,0,1,3.337482564,,1
2016,Reference,0,The Official SAT Study Guide 2016 Edition・,The College Board,2015,College Board,792,28,2,0,1,0,0,270193000,,0
2016,Religion&Spirituality,0,Fervent: A Woman's Battle Plan to Serious・,Priscilla Shirer,2015,B&H Books,208,12.99,1,1,1,0,0,13915,,0
2016,Religion&Spirituality,0,Quieting Your Heart: 6-Month Bible-Study Journal,Darlene Schacht,2016,Time-Warp Wife Ministries ,192,9.99,1,1,1,0,0,3775.2,,0
2015,Religion&Spirituality,0,Adult Coloring Book: Stress Relieving Animal・,Savanna Magic,2015,Savanna Magic ,130,5.54,2,1,1,0,0,48608.12,,0
2015,Arts&Photography,0,Humans of New York : Stories,Brandon Stanton,2015,St. Martin's Press,432,29.99,0,0,1,0,0,70423.2,,1
2015,Reference,0,The Official SAT Study Guide,The College Board,2019,College Board,1300,29.99,2,0,5,1,1,190040180,,0
2015,Religion&Spirituality,0,The Jesus Storybook Bible: Every Story Whispers・,Sally Lloyd-Jones,2007,ZonderKidz,352,18.99,1,1,4,1,1,195049.433,,1
2015,Religion&Spirituality,0,For the Love: Fighting for Grace in a World of・,Jen Hatmaker,2018,Thomas Nelson,224,17.99,1,1,1,0,0,6812.3,,1
2014,Arts&Photography,0,Humans of New York,Brandon Stanton,2020,St. Martin's Press ,448,35,0,1,2,0,1,44820.5,,1
2014,Reference,0,Minecraft: The Complete Handbook Collection,Stephanie Milton,2015,Scholastic,244,25,1,1,1,0,0,223000,,1
2014,Religion&Spirituality,0,Heaven is for Real: A Little Boy's Astounding・,Todd Burpo,2011,Thomas Nelson,205,17.99,2,1,3,1,1,5973,,1
2014,Reference,0,The Real ACT Prep Guide (Official Act Prep Guide),ACT,2020,Wiley,976,38.95,2,1,1,0,0,452247529.1,,1
2014,Religion&Spirituality,0,Soul Healing Miracles: Ancient and New Sacred・,Zhi Gang Sha,2013,BenBella Books ,336,24.95,1,0,2,0,1,13279.387,,0
2014,Reference,0,Minecraft: Essential Handbook,Stephanie Milton,2013,Scholastic Inc.,80,15.99,2,1,1,0,0,113911.3723,,1
2013,Religion&Spirituality,0,Proof of Heaven: A Neurosurgeon's Journey into・,Eben Alexander,2012,Simon & Schuster,196,17,0,1,2,0,1,109953.91,,1
2013,Religion&Spirituality,0,ZEALOT: The Life and Times of Jesus of Nazareth,Reza Aslan,2014,Random House Trade Paperbacks,336,18,0,1,1,0,0,10815.37991,,1
2013,Reference,0,ObamaCare Survival Guide: The Affordable Care・,Nick J. Tate,2012,Humanix Books,229,19.99,0,1,1,0,0,77064.9,,0
2013,Religion&Spirituality,0,The Harbinger: The Ancient Mystery that Holds・,Jonathan Cahn,2012,Frontline ,272,16.99,0,1,2,0,1,16500,,0
2013,Reference,0,Kaplan GRE Premier 2014 with 6 Practice Tests:・,Kaplan,2013,Kaplan Publishing,504,34.99,2,1,1,0,0,25300000,,0
2012,Religion&Spirituality,0,One Thousand Gifts: A Dare to Live Fully Right・,Ann Voskamp,2012,Zondervan,96,12.99,1,1,2,0,1,5931.629632,,1
2012,Eduation&Teaching,0,Teach Like a Champion: 49 Techniques that Put・,Doug Lemov,2015,Jossey-Bass,352,25.69,0,0,2,0,1,1961.894,,1
2012,Religion&Spirituality,0,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,2013,David C Cook,224,24.99,0,0,3,1,1,209366.3,,0
2012,Religion&Spirituality,0,Help Thanks Wow: The Three Essential Prayers,Anne Lamott,2012,Riverhead Books,102,17.95,1,1,1,0,0,1.54E+04,,1
2012,Religion&Spirituality,0,To Heaven and Back: A Doctor's Extraordinary・,Mary C. Neal,2012,WaterBrook,240,16,1,1,1,0,0,1.04E+05,,1
2012,Religion&Spirituality,0,Divine Healing Hands: Experience Divine Power・,Zhi Gang Sha,2012,Atria Books,352,19.95,0,0,1,0,0,6.86E+03,,1
2012,Religion&Spirituality,0,The Meaning of Marriage: Facing the・,Timothy Keller,2011,Penguin Books,352,18,0,0,1,0,0,6.82E+04,,1
2011,Travel,0,Cutting for Stone,Abraham Verghese,2010,Vintage,667,17.95,0,0,1,0,0,4.57E+03,,1
2011,Religion&Spirituality,0,Love Wins: A Book About Heaven Hell and the・,Rob Bell,2011,HarperOne,224,15.99,0,1,1,0,0,1.27E+05,,1
