BestsellerFic,Genre,GenreBin,Title,Author,Published Year,Publisher,Page,Price,authorgender(male0fe1team2),isFirstBestSeller,Duration,痕井穿Duration,痕井板Duration3(0=S1=L2=etc),Impact,year_rank,isGlobal50 of first year(False=0True=1)
2020,Literature&Fiction,6,Where the Crawdads Sing,Delia Owens,2017,G.P. Putnam's Sons,209,26,1,1,3,1,1,53800,2019_01,1
2020,Literature&Fiction,6,The Silent Patient,Alex Michaelides,2019,Celadon Books,336,26.99,0,1,2(2019),2,1,23700,2019_39,1
2020,Literature&Fiction,6,Then She Was Gone,Lisa Jewell,2018,Atria Books,384,16,1,1,2(2019),2,1,38620.0298,2019_90,1
2020,Teen&Youngadult,6,To Kill a Mockingbird,Harper Lee,2005,Harper Perennial ,336,15.99,1,0,7,1,1,400958.997,2019_41,1
2020,Teen&Youngadult,6,The Outsiders,S. E. Hinton,2006,Speak,224,10.99,1,1,5,1,1,133000,2019_99,1
2020,Literature&Fiction,6,The Giving Tree,Shel Silverstein,2014,Harper & Row,57,9.99,0,0,3,1,1,4.89E+04,2019_84,1
2019,Teen&Youngadult,6,Harry Potter and the Goblet of Fire: The・,J.K. Rowling,2019,Arthur A. Levine Books,403,12.99,1,0,1,0,0,14399000,2019_29,1
2019,Literature&Fiction,6,Strange Planet (Strange Planet Series),Nathan W. Pyle,2020,Morrow Gift,144,14.99,0,1,1,0,0,25200,2019_37,1
2019,Literature&Fiction,6,Player's Handbook (Dungeons & Dragons),Wizards RPG Team,2014,Wizards of the Coast,320,22.96,2,0,4,1,1,57400,2019_38,0
2019,Literature&Fiction,6,The Guardians,John Grisham,2019,Dell ,386,9.99,0,0,1,0,0,8.79E+04,2019_45,1
2019,Literature&Fiction,6,The Institute,Stephen King,2020,Scribner,576,34.99,0,0,1,0,0,30140000,2019_53,1
2019,Literature&Fiction,6,The Testaments: The Sequel to The Handmaid's・,Margaret Atwood,2019,Anchor ,381,16.95,1,0,1,0,0,205700,2019_54,0
2019,Literature&Fiction,6,The Overstory,Richard Powers,2019,W. W. Norton & Company,512,18.95,0,1,1,0,0,5170000,2019_70,0
2019,Literature&Fiction,6,Eleanor Oliphant Is Completely Fine,Gail Honeyman,2018,Penguin Books,352,16,1,1,1,0,0,3773.42493,2019_74,1
2019,Literature&Fiction,6,The Tattooist of Auschwitz,Heather Morris,2018,Harper Paperbacks,249,16.99,1,1,1,0,0,314600,2019_77,1
2019,Literature&Fiction,6,The Great Gatsby,F. Scott Fitzgerald,2004,Scribner ,180,17,0,1,9,1,1,284900,2019_79,1
2018,Literature&Fiction,6,Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,2018,Anchor ,500,49.9,0,1,1,0,0,29795.88446,,0
2018,Teen&Youngadult,6,The Hate U Give,Angie Thomas,2017,Balzer + Bray,464,18.99,1,1,1,0,0,3820000,,1
2018,Literature&Fiction,6,Milk and Honey,Rupi Kaur,2015,Andrews McMeel Publishing,208,14.99,1,1,3,1,1,83270,,0
2018,Literature&Fiction,6,Little Fires Everywhere,Celeste Ng,2019,Penguin Books,368,17,1,1,1,0,0,40728.2,,1
2018,Literature&Fiction,6,The President Is Missing,James Patterson,2019,Grand Central Publishing,528,17.99,0,0,1,0,0,987349.5673,,1
2018,Literature&Fiction,6,Ready Player One,Ernest Cline,2012,Ballantine Books,374,28.99,0,1,2,0,1,99033.80302,,1
2018,Literature&Fiction,6,Before We Were Yours,Lisa Wingate,2017,Ballantine Books ,378,17,1,1,1,0,0,21659,,1
2018,Literature&Fiction,6,The Reckoning,John Grisham,2018,Dell ,435,9.99,0,0,1,0,0,6.21E+04,,1
2018,Literature&Fiction,6,Beneath a Scarlet Sky,Mark Sullivan,2017,Lake Union Publishing,523,16.99,0,1,2,0,1,716815.7859,,0
2018,Literature&Fiction,6,The Outsider,Stephen King,2006,Scribner,374,18.99,0,0,1,0,0,7888406.8,,1
2018,Literature&Fiction,6,The Woman in the Window,A. J Finn,2019,William Morrow Paperbacks,464,16.99,0,1,1,0,0,10998900,,1
2018,Literature&Fiction,6,The Sun and Her Flowers,Rupi Kaur,2017,Andrews McMeel Publishing,256,16.99,1,1,2,0,1,74500,,0
2018,Literature&Fiction,6,The Great Alone,Kristin Hannah,2020,St. Martin's Press,184,17.99,1,0,1,0,0,229900,,1
2018,Literature&Fiction,6,Gmorning Gnight!: Little Pep Talks for Me & You,Lin-Manuel Miranda,2018,Random House,224,22,0,0,1,0,0,196900,,1
2018,Teen&Youngadult,6,Harry Potter Paperback Box Set (Books 1-7),J.K. Rowling,2009,Arthur A. Levine Books,4167,285,1,0,4,1,1,11880000,,1
2018,Literature&Fiction,6,Xanathar's Guide to Everything (Dungeons &・,Wizards RPG Team,2017,Wizards of the Coast,192,28.99,2,1,1,0,0,70290,,0
