Rank,Year,Title,Genre,Year_Rank,Note,,,,,,,,,,,,,,,,,,,,
1,2020,Too Much and Never Enough: How My Family…,Biographies&Memoirs,2020_01,,,,,,,,,,,,,,,,,,,,,
2,2020,Where the Crawdads Sing,Literature&Fiction,2020_02,,,,,,,,,,,,,,,,,,,,,
3,2020,My First Learn to Write Workbook: Practice for…,Children'sBooks,2020_03,,,,,,,,,,,,,,,,,,,,,
4,2020,Midnight Sun,Teen&Youngadult,2020_04,,,,,,,,,,,,,,,,,,,,,
5,2020,Untamed,Business&SelfHelp,2020_05,,,,,,,,,,,,,,,,,,,,,
6,2020,The Room Where It Happened: A White House…,Politics&SocialSciences,2020_06,,,,,,,,,,,,,,,,,,,,,
7,2020,White Fragility: Why It's So Hard for White…,Politics&SocialSciences,2020_07,,,,,,,,,,,,,,,,,,,,,
8,2020,School Zone - Big Preschool Workbook - Ages 4…,Children'sBooks,2020_08,,,,,,,,,,,,,,,,,,,,,
9,2020,If Animals Kissed Good Night,Children'sBooks,2020_09,,,,,,,,,,,,,,,,,,,,,
10,2020,The Ballad of Songbirds and Snakes (A Hunger…,Teen&Youngadult,2020_10,,,,,,,,,,,,,,,,,,,,,
11,2020,How to Be an Antiracist,Politics&SocialSciences,2020_11,,,,,,,,,,,,,,,,,,,,,
12,2020,The Very Hungry Caterpillar,Children'sBooks,2020_12,,,,,,,,,,,,,,,,,,,,,
13,2020,Rage,Politics&SocialSciences,2020_13,,,,,,,,,,,,,,,,,,,,,
14,2020,Little Fires Everywhere,Literature&Fiction,2020_14,,,,,,,,,,,,,,,,,,,,,
15,2020,Dog Man: Grime and Punishment: From the…,Children'sBooks,2020_15,,,,,,,,,,,,,,,,,,,,,
16,2020,The Four Agreements: A Practical Guide to…,Religion&Spirituality,2020_16,,,,,,,,,,,,,,,,,,,,,
17,2020,Becoming,Biographies&Memoirs,2020_17,,,,,,,,,,,,,,,,,,,,,
18,2020,American Dirt (Oprah's Book Club),Literature&Fiction,2020_18,,,,,,,,,,,,,,,,,,,,,
19,2020,Giraffes Can't Dance,Children'sBooks,2020_19,,,,,,,,,,,,,,,,,,,,,
20,2020,Magnolia Table Volume 2: A Collection of…,"Cookbooks,Food&Wine",2020_20,,,,,,,,,,,,,,,,,,,,,
21,2020,Live Free Or Die: America (and the World) on the…,Politics&SocialSciences,2020_21,,,,,,,,,,,,,,,,,,,,,
22,2020,The Splendid and the Vile: A Saga of Churchill…,Biographies&Memoirs,2020_22,,,,,,,,,,,,,,,,,,,,,
23,2020,The 5 Love Languages: The Secret to Love that…,Religion&Spirituality,2020_23,,,,,,,,,,,,,,,,,,,,,
24,2020,Brown Bear Brown Bear What Do You See?,Children'sBooks,2020_24,,,,,,,,,,,,,,,,,,,,,
25,2020,The Body Keeps the Score: Brain Mind and Body…,MedicalBooks,2020_25,,,,,,,,,,,,,,,,,,,,,
26,2020,How to Catch a Mermaid,Children'sBooks,2020_26,,,,,,,,,,,,,,,,,,,,,
27,2020,The Silent Patient,Literature&Fiction,2020_27,,,,,,,,,,,,,,,,,,,,,
