num,year,title,publisher,mother company,is Global 50,year merged to Global 50
901,2011,SteveJobs,Simon & Schuster,Simon & Schuster,O,
902,2011,HeavenisforRealALittleBoy'sAstounding,Thomas Nelson,HarperCollins,O,
903,2011,CabinFeverDiaryofaWimpyKidBook6,Harry N. Abrams,La Martinière Groupe,O,
904,2011,StrengthsFinder2.0,Gallup Press,Gallup Press,X,
905,2011,TheHungerGamesBook1,Scholastic Press,Scholastic (corp.),O,
906,2011,UnbrokenAWorldWarIIStoryofSurvival,Random House Trade Paperback,Random House,O,
907,2011,InheritanceBookIVInheritanceCycle,Knopf Books for Young Readers,Random House,O,
908,2011,GotheF**ktoSleep,Akashic Books,Akashic Books,X,
909,2011,MockingjayTheHungerGames,Scholastic Press,Scholastic (corp.),O,
910,2011,GameofThronesBoxedSetAGameofThrones,Bantam,Random House,O,
911,2011,CatchingFireTheHungerGames,Scholastic Press,Scholastic (corp.),O,
912,2011,The17DayDietADoctor'sPlanDesignedfor,Free Press,Free Press,X,2012
913,2011,ADancewithDragonsASongofIceandFire,Bantam,Random House,O,
914,2011,TheSonofNeptuneHeroesofOlympusBook2,Disney-Hyperion,Disney-Hyperion,X,
915,2011,KillingLincolnTheShockingAssassinationthat,Henry Holt and Co.,Holtzbrinck,O,
916,2011,PublicationManualoftheAmerican,American Psychological Association,American Psychological Association,X,
917,2011,TheHelp,Berkley,Pearson,O,
918,2011,TheImmortalLifeofHenriettaLacks,Crown ,Random House ,O,
919,2011,11/22/63,Scribner,Simon & Schuster,O,
920,2011,TheOfficialSATStudyGuide,College Board,College Board,X,
921,2011,JesusCallingEnjoyingPeaceinHisPresence,Thomas Nelson,HarperCollins,O,
922,2011,TheHungerGamesTrilogyBoxedSet1,Scholastic Press,Scholastic (corp.),O,
923,2011,CuttingforStone,Vintage,Random House,O,
924,2011,TinaFeyBossypants,"Little, Brown",Hachette Livre,O,
925,2011,The4HourBodyAnUncommonGuidetoRapid,Harmony,Random House ,O,
926,2011,IntheGardenofBeastsLoveTerrorandan,Crown,Random House ,O,
927,2011,The5LoveLanguagesTheSecrettoLoveThat,Northfield Publishing,Moody Bible Institute,X,
928,2011,CrazyLoveOverwhelmedbyaRelentlessGod,David C Cook,David C Cook,X,
929,2011,AStolenLifeAMemoir,Simon & Schuste,Simon & Schuster,O,
930,2011,TheGirlWhoKickedtheHornet'sNest,Knopf,Random House,O,
931,2011,WaterforElephants,Algonquin Books ,Workman Publishing Group,X,
932,2011,TheFiveDysfunctionsofaTeamALeadership,Jossey-Bass,Wiley,O,
933,2011,TheLegoIdeasBookUnlockYourImagination,DK Children,Pearson,O,
934,2011,OneThousandGiftsADaretoLiveFullyRight,Zondervan,HarperCollins,O,
935,2011,The7HabitsofHighlyEffectivePeople,Simon & Schuster,Simon & Schuster,O,
936,2011,TheDukanDiet2StepstoLosetheWeight2,Crown Archetype,Random House ,O,
937,2011,TheThroneofFireTheKaneChroniclesBook2,Disney-Hyperion,Disney-Hyperion,X,
938,2011,DeadReckoningSookieStackhouse/TrueBlood,Ace,Pearson,O,
939,2011,GoodtoGreatWhySomeCompaniesMakethe,HarperBusiness,HarperCollins,O,
940,2011,TheLitigators,Dell,Random House,O,
941,2011,LoveWinsABookAboutHeavenHellandthe,HarperOne,HarperCollins,O,
942,2011,TheHelp,Berkley,Pearson,O,
943,2011,ThinkingFastandSlow,Farrar Straus and Giroux,Holtzbrinck,O,
944,2011,TheParisWife,Ballantine Books ,Random House,O,
945,2011,RadicalTakingBackYourFaithfromthe,Multnomah,Random House ,O,
946,2011,TheArtofRacingintheRain,Harper Perennial,HarperCollins,O,
947,2011,TeachLikeaChampion49TechniquesthatPut,Jossey-Bass,Wiley,O,
948,2011,EattoLiveTheAmazingNutrient-RichProgram,Little Brown Spark,Hachette Livre,O,
949,2011,TheChinaStudyTheMostComprehensiveStudy,BenBella Books,BenBella Books,X,
950,2011,WhattoExpectWhenYou'reExpecting,Workman Publishing Company,Workman Publishing Group,X,
951,2011,TheBestofMe,Grand Central Publishing,Hachette Livre,O,
952,2011,JacquelineKennedyHistoricConversationson,Hachette Books ,Hachette Livre,O,
953,2011,TheGirlwiththeDragonTattooMillennium,Vintage Crime,Random House,O,
954,2011,TheGreaterJourneyAmericansinParis,Simon & Schuster,Simon & Schuster,O,
955,2011,SwitchHowtoChangeThingsWhenChangeIs,Crown Business,Random House ,O,
956,2011,EveryThingOnIt,HarperCollins,HarperCollins,O,
957,2011,MissPeregrine'sHomeforPeculiarChildren,Quirk Books,Quirk Books,X,
958,2011,MoonwalkingWithEinsteinTheArtandScience,Penguin Books,Pearson,O,
959,2011,TheGreatGatsby,Scribner ,Simon & Schuster,O,
960,2011,TheHelp,Berkley,Pearson,O,
961,2011,1Q84,Knopf,Random House,O,
962,2011,BoomerangTravelsintheNewThirdWorld,W. W. Norton & Company,W. W. Norton & Company,X,
963,2011,WhoMovedMyCheese,G. P. Putnam's Sons,Pearson,O,
964,2011,StrengthsBasedLeadershipGreatLeaders,Gallup Press,Gallup Press,X,
965,2011,ElderScrollsVSkyrimPrimaOfficialGameGuide,Prima Games,Asteri Holdings,X,
968,2011,The4-HourWorkweekEscape9-5Live,Harmony,Random House ,O,
969,2011,OhthePlacesYou'llGo혻혻,Random House Books for Young Readers ,Random House,O,
970,2011,ThroughMyEyes,Independently published ,Independently published ,X,
971,2011,TheLandofPaintedCaves,Bantam,Random House,O,
972,2011,TheSocialAnimalTheHiddenSourcesofLove,Random Hous,Random House,O,
973,2011,AGuidetotheProjectManagementBodyof,Project Management Institute,Project Management Institute,X,
974,2011,GuinnessWorldRecords2012,Guinness World Records ,Guinness World Records ,X,
975,2011,StateofWonder,Harper,HarperCollins,O,
976,2011,AVisitfromtheGoonSquad,Anchor,Random House,O,
977,2011,PreventandReverseHeartDiseaseThe,Avery,Pearson,O,
978,2011,HarryPotterPaperbackBoxSetBooks1-7,Arthur A. Levine Books,Scholastic (corp.),O,
979,2011,ExplosiveEighteenAStephaniePlumNovel,Bantam,Random House,O,
980,2011,The7HabitsofHighlyEffectiveTeensThe,Simon & Schuster,Simon & Schuster,O,
981,2011,DeliveringHappinessAPathtoProfitsPassion,Grand Central Publishing,Hachette Livre,O,
982,2011,TheLostHeroHeroesofOlympusBook1,Disney-Hyperion,Disney-Hyperion,X,
983,2011,Room,Back Bay Books,Hachette Livre,O,
984,2011,HotelontheCornerofBitterandSweet,Ballantine Books,Random House,O,
985,2011,TheTippingPointHowLittleThingsCanMakea,Turtleback Books ,Turtleback Books ,X,
986,2011,EmotionalIntelligence2.0,TalentSmart,TalentSmart,X,
987,2011,OutliersTheStoryofSuccess,Back Bay Books,Hachette Livre,O,
988,2011,ForksOverKnivesThePlant-BasedWaytoHealth,The Experiment,The Experiment,X,
